dataset,seed,proposal,batchExecution,elapsedSeconds,sampling,origin,feasible,FWHM,Inter sample RT tolerance,MS1 noise level,MZ tolerance option,Min consecutive,Min height,Chrom. Threshold,Top-to-edge ratio,MZ tolerance / m/z,MZ tolerance / ppm,Yasin isotope score,Rows (incl. isotopes),Single file rows / %,Rows without isotopes / %,Runtime / s,Total features,Median row height,Cache hit,Row height q10
thermo-20y-qc,7,68,51,78.4087759,GAUSSIAN,Evolution,true,0.03267787029113412,0.17199100747961088,3.6450430484795993,2.0,3.0,656448.0382762541,0.97,1.5,0.003,7.0,3078.968120205112,5759,16.6,16.0,0.0,25157,1667499.0,true,766648.34375
thermo-20y-qc,7,69,52,80.2516148,GAUSSIAN,Evolution,true,0.03735787127941445,0.14720344146269404,3.0,2.0,3.0,659749.5149123737,0.97,1.5,0.003,7.0,3791.755367186881,5764,16.8,13.9,1.805,25246,1637311.5625,false,762345.78125
thermo-20y-qc,7,70,53,82.0007301,GAUSSIAN,Evolution,true,0.039897944687100756,0.14720344146269404,3.0,2.0,3.0,659749.5149123737,0.97,1.5,0.003,7.0,3788.9458235691304,5751,16.8,13.9,1.717,25177,1637707.375,false,762661.4375
thermo-20y-qc,7,71,54,83.8322851,GAUSSIAN,Evolution,true,0.03267787029113412,0.17199100747961088,3.0,2.0,3.0,656448.0382762541,0.9636206515002579,1.5,0.003,7.0,3866.1658493936975,5960,16.0,13.9,1.796,26307,1631144.0,false,760752.4375
thermo-20y-qc,7,72,55,85.5693863,GAUSSIAN,Evolution,true,0.039897944687100756,0.15485378442302117,3.0,2.0,3.0,659749.5149123737,0.97,1.5,0.003,7.0,3755.4724763344207,5744,16.8,13.9,1.702,25142,1641045.875,false,762699.9375
thermo-20y-qc,7,73,55,85.5695204,GAUSSIAN,Evolution,true,0.03267787029113412,0.17199100747961088,3.6450430484795993,2.0,3.0,656448.0382762541,0.97,1.5,0.003,7.0,3078.968120205112,5759,16.6,16.0,0.0,25157,1667499.0,true,766648.34375
thermo-20y-qc,7,74,56,86.7991194,GAUSSIAN,Evolution,true,0.01729187648743391,0.043410226884080125,5.312220664640287,2.0,6.0,552079.9023808083,0.945986799782724,1.5939752237862557,0.003,7.0,2433.649395339691,4681,15.3,15.7,1.201,20342,1712415.875,false,680867.4375
thermo-20y-qc,7,75,56,86.7992604,GAUSSIAN,Evolution,true,0.0352854691331628,0.036593156604568806,9.340881425780097,3.0,8.0,507416.31386461295,0.6592324680452285,1.8280941902949732,0.005,15.0,995.1572779439101,3168,24.0,14.4,0.0,12373,1824012.75,true,635857.8125
thermo-20y-qc,7,76,57,88.00394,GAUSSIAN,Evolution,true,0.040138268162479854,0.046562697744305,9.809242129494809,4.0,3.0,472689.6663401982,0.76670587199344,2.108754444348662,0.008,15.0,1615.1476361891048,5275,21.7,16.8,1.174,20835,1687718.25,false,608023.6875
thermo-20y-qc,7,77,58,89.7194095,GAUSSIAN,Evolution,true,0.022142781324576352,0.07680938434935661,5.878395773653819,2.0,3.0,305775.93461486365,0.8639894237566884,2.0301522456357817,0.003,7.0,2663.816260391715,7191,20.8,17.5,1.675,28388,1188284.75,false,414117.125
thermo-20y-qc,7,78,58,89.7195413,GAUSSIAN,Evolution,true,0.03267787029113412,0.17199100747961088,3.0,2.0,3.0,656448.0382762541,0.9636206515002579,1.5,0.003,7.0,3866.1658493936975,5960,16.0,13.9,0.0,26307,1631144.0,true,760752.4375
thermo-20y-qc,7,79,59,91.6148218,GAUSSIAN,Evolution,true,0.023425347855079135,0.021908862392396217,5.359758295864549,1.0,5.0,277562.6038795433,0.8037408927052907,1.5,0.001,5.0,2245.017167381974,11015,31.0,20.5,1.823,37513,827334.8125,false,341379.171875
thermo-20y-qc,7,80,59,91.6149608,GAUSSIAN,Evolution,true,0.019583705483400212,0.07173547991184472,4.562048804068166,2.0,4.0,814001.6086903372,0.8584965022812755,1.5,0.003,7.0,3097.615453146513,5664,17.2,16.2,0.0,24694,1882649.0625,true,939274.09375
thermo-20y-qc,7,81,59,91.6149776,GAUSSIAN,Evolution,true,0.056426274521181465,0.03395177327770523,7.479780308021494,3.0,3.0,774656.5693982973,0.97,1.6921737656817217,0.005,15.0,1770.859493396839,4377,16.9,17.4,0.0,18476,2076975.375,true,926920.8125
thermo-20y-qc,7,82,60,93.4221814,GAUSSIAN,Evolution,true,0.03267787029113412,0.17937711134485088,3.0,2.0,3.0,656448.0382762541,0.9636206515002579,1.5,0.003,7.0,3817.2880814837335,5960,16.0,13.9,1.77,26312,1635163.375,false,760752.4375
